year,Education,Applied Arts,Humanities & Social Sciences,Mass Communication & Information Science,Business & Administration,Legal Studies,Science & Related Technologies,Health Sciences,Males: Information Technology,Architecture & Building,Engineering Sciences,Services,total
1993,na,516,na,330,8254,88,1880,800,1912,1808,22917,293,38798
1994,na,610,na,378,9136,148,636,1378,2410,1899,25287,340,42222
1995,na,712,na,428,9735,229,797,1740,3105,1949,27079,382,46156
1996,na,1005,na,509,10717,244,989,1908,3569,2047,27831,295,49114
1997,na,1109,na,600,10647,287,1159,1961,4209,2011,29240,412,51635
1998,na,1378,na,655,10731,306,1324,2093,5263,1859,29139,429,53177
1999,86,1587,na,671,10785,320,1482,2160,6397,1810,29089,547,54934
2000,205,1705,na,636,10993,338,1612,2143,7699,1662,28449,602,56044
2001,304,1742,na,811,11044,402,1613,2454,9194,1590,27729,616,57499
2002,335,1834,na,1068,10948,373,2115,2541,11028,1519,26884,673,59318
2003,357,1889,na,1294,10526,352,2377,3411,11715,1413,25942,685,59961
2004,419,2120,na,1465,10254,348,2641,4480,11745,1421,24714,734,60341
2005,484,2599,83,1451,10535,359,2851,5234,12023,1466,25328,711,63124
2006,534,3215,243,1453,11334,371,3063,5964,11893,1622,26176,675,66543
2007,548,3733,569,1428,13005,369,3563,5993,12279,1696,26935,865,70983
2008,547,4217,912,1521,15137,370,3711,6520,12078,1774,27011,964,74762
2009,629,4809,1212,1657,16939,371,3932,7194,12032,1819,26845,1015,78454
2010,773,5441,1475,1731,17986,401,4252,7729,11760,2018,26332,1002,80900
2011,865,5607,1952,1806,17829,452,4620,7747,11843,1880,26172,1162,81935
2012,940,5983,2214,1695,18045,551,4735,7501,11871,2088,25724,1518,82865
2013,1045,5935,2337,1850,19321,552,4808,7280,11804,2296,25811,1801,84840
2014,1029,6133,2399,1932,19681,535,4898,7049,11311,2339,24325,2669,84300