year,total,Education,Applied Arts,Humanities & Social Sciences,Mass Communication,Accountancy,Business & Administration,Law,"Natural, Physical & Mathematical Sciences",Medicine,Dentistry,Health Sciences,Information Technology,Architecture & Building,Engineering Sciences,Services
1991,23309,119,#VALUE!,4275,#VALUE!,2072,3123,780,2793,838,141,90,1250,1003,6825,#VALUE!
1992,24822,351,#VALUE!,4421,#VALUE!,2101,3494,769,2834,783,135,98,1385,1045,7406,#VALUE!
1993,25805,550,#VALUE!,4534,97,2098,3749,763,2756,771,141,102,1489,1050,7705,#VALUE!
1994,27189,719,#VALUE!,4759,201,2164,3920,749,2876,752,144,115,1603,1027,8160,#VALUE!
1995,28645,849,#VALUE!,5024,313,2232,4034,720,2815,762,147,182,1745,1033,8789,#VALUE!
1996,30374,780,#VALUE!,5199,433,2309,4098,695,2909,761,142,193,1743,1099,10013,#VALUE!
1997,31728,709,#VALUE!,5335,452,2370,4019,652,2956,789,142,208,1641,1095,11360,#VALUE!
1998,33093,630,#VALUE!,5354,474,2351,3834,629,2952,834,138,231,1515,1177,12974,#VALUE!
1999,35102,660,25,5452,480,2308,3699,603,3119,888,136,249,1665,1319,14499,#VALUE!
2000,37648,827,48,5443,497,2282,3752,598,3448,947,139,289,1924,1425,16029,#VALUE!
2001,39571,962,72,5417,533,2255,3762,629,3823,1036,137,314,2123,1494,17014,#VALUE!
2002,40740,1107,97,5270,550,2209,3965,680,4083,1081,136,325,2068,1512,17657,#VALUE!
2003,41685,1174,174,5236,608,2169,4271,752,4436,1114,138,344,1916,1474,17879,#VALUE!
2004,43186,1098,226,5459,622,2395,4621,816,4533,1145,141,347,1857,1536,18337,53
2005,45353,944,355,6154,644,2561,5012,844,5049,1169,139,433,2000,1479,18462,108
2006,48106,864,557,7022,685,2932,5412,872,5554,1188,148,583,2172,1459,18481,177
2007,50563,1025,711,8085,693,3074,5675,1004,6168,1207,154,745,2338,1545,17893,246
2008,52598,1475,845,8759,688,3139,5848,1143,6819,1237,163,887,2579,1573,17190,253
2009,55358,1735,957,9456,692,3194,5986,1321,7374,1278,180,1042,2886,1671,17323,263
2010,57117,1841,1076,9694,675,3203,6426,1423,7640,1305,184,1064,3207,1786,17294,299
2011,58236,1837,1200,9689,673,3871,5780,1448,7822,1328,190,1139,3505,1857,17321,576
2012,59882,1610,1404,10087,678,4001,6073,1474,7832,1374,201,1240,3661,1829,17639,779
2013,61690,1338,1715,10642,702,4042,6188,1491,7853,1469,207,1409,3824,1883,18048,879
2014,63863,1103,1578,11291,729,4368,6577,1514,8145,1585,216,1498,4152,1990,18438,679